borrower_id,pd,credit_score,risk_grade,recommended_action,below_policy_cutoff
1,0.24675324675324675,464.4062693398312,E,Decline or enhanced verification,True
2,0.0992,543.0433353402997,D,Manual review / risk-based pricing,True
3,0.3419170243204578,431.13475740381324,E,Decline or enhanced verification,True
4,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
5,0.1647940074906367,500.97700931978227,E,Decline or enhanced verification,True
6,0.007410838351088467,737.1744019894593,A,Auto approve / best terms,False
7,0.0171606864274571,675.8924152431309,B,Approve / standard terms,False
8,0.08056872037914692,559.5260953024713,D,Manual review / risk-based pricing,False
9,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
10,0.04054054054054054,612.1428261948082,C,Approve with review or lower limit,False
11,0.08249158249158249,557.6737240330859,D,Manual review / risk-based pricing,False
12,0.012093726379440665,701.5057665454036,B,Approve / standard terms,False
13,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
14,0.6879432624113475,326.87953407814035,E,Decline or enhanced verification,True
15,0.004076086956521739,780.5389396262647,A,Auto approve / best terms,False
16,0.012093726379440665,701.5057665454036,B,Approve / standard terms,False
17,0.004076086956521739,780.5389396262647,A,Auto approve / best terms,False
18,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
19,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
20,0.07193229901269393,568.3795168438193,D,Manual review / risk-based pricing,False
21,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
22,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
23,0.0992,543.0433353402997,D,Manual review / risk-based pricing,True
24,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
25,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
26,0.08249158249158249,557.6737240330859,D,Manual review / risk-based pricing,False
27,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
28,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
29,0.03743961352657004,618.1155754358117,C,Approve with review or lower limit,False
30,0.0992,543.0433353402997,D,Manual review / risk-based pricing,True
31,0.1647940074906367,500.97700931978227,E,Decline or enhanced verification,True
32,0.07193229901269393,568.3795168438193,D,Manual review / risk-based pricing,False
33,0.0017730496453900709,840.7531508596435,A,Auto approve / best terms,False
34,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
35,0.1925287356321839,487.3204517437896,E,Decline or enhanced verification,True
36,0.002228826151560178,824.2176496909462,A,Auto approve / best terms,False
37,0.3419170243204578,431.13475740381324,E,Decline or enhanced verification,True
38,0.136986301369863,516.6711866862596,E,Decline or enhanced verification,True
39,0.04054054054054054,612.1428261948082,C,Approve with review or lower limit,False
40,0.043668122270742356,606.5465434913225,C,Approve with review or lower limit,False
41,0.1647940074906367,500.97700931978227,E,Decline or enhanced verification,True
42,0.0017730496453900709,840.7531508596435,A,Auto approve / best terms,False
43,0.03743961352657004,618.1155754358117,C,Approve with review or lower limit,False
44,0.07193229901269393,568.3795168438193,D,Manual review / risk-based pricing,False
45,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
46,0.002228826151560178,824.2176496909462,A,Auto approve / best terms,False
47,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
48,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
49,0.07193229901269393,568.3795168438193,D,Manual review / risk-based pricing,False
50,0.110397946084724,534.4259346273877,E,Decline or enhanced verification,True
51,0.136986301369863,516.6711866862596,E,Decline or enhanced verification,True
52,0.136986301369863,516.6711866862596,E,Decline or enhanced verification,True
53,0.04054054054054054,612.1428261948082,C,Approve with review or lower limit,False
54,0.01,715.3714262596125,B,Approve / standard terms,False
55,0.110397946084724,534.4259346273877,E,Decline or enhanced verification,True
56,0.004076086956521739,780.5389396262647,A,Auto approve / best terms,False
57,0.050387596899224806,595.7135062987059,D,Manual review / risk-based pricing,False
58,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
59,0.050387596899224806,595.7135062987059,D,Manual review / risk-based pricing,False
60,0.08056872037914692,559.5260953024713,D,Manual review / risk-based pricing,False
61,0.04054054054054054,612.1428261948082,C,Approve with review or lower limit,False
62,0.004076086956521739,780.5389396262647,A,Auto approve / best terms,False
63,0.002228826151560178,824.2176496909462,A,Auto approve / best terms,False
64,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
65,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
66,0.007410838351088467,737.1744019894593,A,Auto approve / best terms,False
67,0.1647940074906367,500.97700931978227,E,Decline or enhanced verification,True
68,0.0440771349862259,605.8431878845449,C,Approve with review or lower limit,False
69,0.110397946084724,534.4259346273877,E,Decline or enhanced verification,True
70,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
71,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
72,0.002228826151560178,824.2176496909462,A,Auto approve / best terms,False
73,0.24675324675324675,464.4062693398312,E,Decline or enhanced verification,True
74,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
75,0.050387596899224806,595.7135062987059,D,Manual review / risk-based pricing,False
76,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
77,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
78,0.03743961352657004,618.1155754358117,C,Approve with review or lower limit,False
79,0.010564542753383956,711.3687636813106,B,Approve / standard terms,False
80,0.03743961352657004,618.1155754358117,C,Approve with review or lower limit,False
81,0.012093726379440665,701.5057665454036,B,Approve / standard terms,False
82,0.004076086956521739,780.5389396262647,A,Auto approve / best terms,False
83,0.02131336405529954,659.9544338333955,C,Approve with review or lower limit,False
